,CARGO,PRICE,WEIGHT
0,Nimble,1540,16
1,Nimble,1635,20
2,Nimble,1592,15
3,Nimble,1173,10
4,Nimble,1909,11
5,Nimble,1141,15
6,Nimble,1979,19
7,Nimble,1496,12
8,Nimble,1061,14
9,Nimble,1362,15
10,Nimble,1424,15
11,Nimble,1745,11
12,Nimble,1852,20
13,Nimble,1578,13
14,Nimble,1135,12
15,Nimble,1688,19
16,Nimble,1692,15
17,Nimble,1143,10
18,Nimble,1504,10
19,Nimble,1821,16
20,Nimble,1150,20
21,Nimble,1015,17
22,Nimble,1666,12
23,Nimble,1661,20
24,Nimble,1652,13
25,Nimble,1743,12
26,Nimble,1232,15
27,Nimble,1786,14
28,Nimble,1819,13
29,Nimble,1548,16
30,Nimble,1337,13
31,Nimble,1020,13
32,Nimble,1561,18
33,Nimble,1111,18
34,Nimble,1190,17
35,Nimble,1022,14
36,Nimble,1767,15
37,Nimble,1703,17
38,Nimble,1344,10
39,Nimble,1968,10
40,Nimble,1775,10
41,Nimble,1662,18
42,Nimble,1482,14
43,Nimble,1600,20
44,Nimble,1893,19
45,Nimble,1938,19
46,Nimble,1632,19
47,Nimble,1917,17
48,Nimble,1616,15
49,Nimble,1584,17
50,Nimble,1950,18
51,Nimble,1530,13
52,Nimble,1252,12
53,Nimble,1438,18
54,Nimble,1315,15
55,Nimble,1101,17
56,Nimble,1441,15
57,Nimble,1057,19
58,Nimble,1089,15
59,Nimble,1929,15
60,Nimble,1047,20
61,Nimble,1261,15
62,Nimble,1405,15
63,Nimble,1439,12
64,Nimble,1423,11
65,Nimble,1140,18
66,Nimble,1124,13
67,Nimble,1151,16
68,Nimble,1493,11
69,Nimble,1739,14
70,Nimble,1671,17
71,Nimble,1787,11
72,Nimble,1680,11
73,Nimble,1633,17
74,Nimble,1922,11
75,Nimble,1239,19
76,Nimble,1120,19
77,Nimble,1495,16
78,Nimble,1238,12
79,Nimble,1750,13
80,Nimble,1957,15
81,Nimble,1489,13
82,Nimble,1415,17
83,Nimble,1999,13
84,Nimble,1349,19
85,Nimble,1770,15
86,Nimble,1666,13
87,Nimble,1388,20
88,Nimble,1491,10
89,Nimble,1292,15
90,Nimble,1728,19
91,Nimble,1688,14
92,Nimble,1980,17
93,Nimble,1570,14
94,Nimble,1221,13
95,Nimble,1377,14
96,Nimble,1210,13
97,Nimble,1914,16
98,Nimble,1098,17
99,Nimble,1207,10
100,Nimble,1051,13
101,Nimble,1801,13
102,Nimble,1291,14
103,Nimble,1581,14
104,Nimble,1569,10
105,Nimble,1345,14
106,Nimble,1313,17
107,Nimble,1473,12
108,Nimble,1885,14
109,Nimble,1956,13
110,Nimble,1297,13
111,Nimble,1541,19
112,Nimble,1645,20
113,Nimble,1453,11
114,Nimble,1949,14
115,Nimble,1678,14
116,Nimble,1851,10
117,Nimble,1873,14
118,Nimble,1774,19
119,Nimble,1705,14
120,Nimble,1059,19
121,Nimble,1053,15
122,Nimble,1537,11
123,Nimble,1807,20
124,Nimble,1028,14
125,Nimble,1770,20
126,Nimble,1644,16
127,Nimble,1011,13
128,Nimble,1285,19
129,Nimble,1282,15
130,Nimble,1271,18
131,Nimble,1276,17
132,Nimble,1532,19
133,Nimble,1574,19
134,Nimble,1380,20
135,Nimble,1452,14
136,Nimble,1896,20
137,Nimble,1203,11
138,Nimble,1094,12
139,Nimble,1985,19
140,Nimble,1615,14
141,Nimble,1521,15
142,Nimble,1052,11
143,Nimble,1620,20
144,Nimble,1769,18
145,Nimble,1891,20
146,Nimble,1593,20
147,Nimble,1679,10
148,Nimble,1048,17
149,Nimble,1901,13
150,Nimble,1235,17
151,Nimble,1566,19
152,Nimble,1048,14
153,Nimble,1857,12
154,Nimble,1935,12
155,Nimble,1449,15
156,Nimble,1047,10
157,Nimble,1665,15
158,Nimble,1361,18
159,Nimble,1446,13
160,Nimble,1955,17
161,Nimble,1838,19
162,Nimble,1065,11
163,Nimble,1636,11
164,Nimble,1166,12
165,Nimble,1117,16
166,Nimble,1033,12
167,Nimble,1877,12
168,Nimble,1174,13
169,Nimble,1789,10
170,Nimble,1506,14
171,Nimble,1056,20
172,Nimble,1426,12
173,Nimble,1723,19
174,Nimble,1019,13
175,Nimble,1145,16
176,Nimble,1299,10
177,Nimble,1132,18
178,Nimble,1979,20
179,Nimble,1781,18
180,Nimble,1545,10
181,Nimble,1111,11
182,Nimble,1359,20
183,Nimble,1645,15
184,Nimble,1564,17
185,Nimble,1144,11
186,Nimble,1165,11
187,Nimble,1117,16
188,Nimble,1010,13
189,Nimble,1544,11
190,Nimble,1098,13
191,Nimble,1935,13
192,Nimble,1498,18
193,Nimble,1513,12
194,Nimble,1567,19
195,Nimble,1534,13
196,Nimble,1600,16
197,Nimble,1493,12
198,Nimble,1612,18
199,Nimble,1669,12
200,Nimble,1246,18
201,Nimble,1310,10
202,Nimble,1835,14
203,Nimble,1433,18
204,Nimble,1990,19
205,Nimble,1586,14
206,Nimble,1495,13
207,Nimble,1861,20
208,Nimble,1531,12
209,Nimble,1741,12
210,Nimble,1953,11
211,Nimble,1015,17
212,Nimble,1461,13
213,Nimble,1423,18
214,Nimble,1864,16
215,Nimble,1050,17
216,Nimble,1847,12
217,Nimble,1708,17
218,Nimble,1473,15
219,Nimble,1960,18
220,Nimble,1809,10
221,Nimble,1414,15
222,Nimble,1540,17
223,Nimble,1557,16
224,Nimble,1723,19
225,Nimble,1322,13
226,Nimble,1888,11
227,Nimble,1228,16
228,Nimble,1860,12
229,Nimble,1802,20
230,Nimble,1006,18
231,Nimble,1028,17
232,Nimble,1236,11
233,Nimble,1917,16
234,Nimble,1081,19
235,Nimble,1281,10
236,Nimble,1106,18
237,Nimble,1529,10
238,Nimble,1755,10
239,Nimble,1177,13
240,Nimble,1145,18
241,Nimble,1290,17
242,Nimble,1955,10
243,Nimble,1955,16
244,Nimble,1953,17
245,Nimble,1704,10
246,Nimble,1085,18
247,Nimble,1642,11
248,Nimble,1000,17
249,Nimble,1596,18
250,Nimble,1950,10
251,Nimble,1145,20
252,Nimble,1672,17
253,Nimble,1985,18
254,Nimble,1057,17
255,Nimble,1373,13
256,Nimble,1462,15
257,Nimble,1116,20
258,Nimble,1295,13
259,Nimble,1559,12
260,Nimble,1792,18
261,Nimble,1939,16
262,Nimble,1819,13
263,Nimble,1670,20
264,Nimble,1914,14
265,Nimble,1298,12
266,Nimble,1707,16
267,Nimble,1606,10
268,Nimble,1803,18
269,Nimble,1847,10
270,Nimble,1375,14
271,Nimble,1438,14
272,Nimble,1386,14
273,Nimble,1659,17
274,Nimble,1322,13
275,Nimble,1484,15
276,Nimble,1539,13
277,Nimble,1808,20
278,Nimble,1823,12
279,Nimble,1542,12
280,Nimble,1164,20
281,Nimble,1532,20
282,Nimble,1649,20
283,Nimble,1270,10
284,Nimble,1785,18
285,Nimble,1025,19
286,Nimble,1361,18
287,Nimble,1500,10
288,Nimble,1338,18
289,Nimble,1372,14
290,Nimble,1266,10
291,Nimble,1170,13
292,Nimble,1836,17
293,Nimble,1034,15
294,Nimble,1827,14
295,Nimble,1068,12
296,Nimble,1704,20
297,Nimble,1891,12
298,Nimble,1816,16
299,Nimble,1510,15
300,Nimble,1404,10
301,Nimble,1897,10
302,Nimble,1317,19
303,Nimble,1588,19
304,Nimble,1499,19
305,Nimble,1844,12
306,Nimble,1643,17
307,Nimble,1025,18
308,Nimble,1612,15
309,Nimble,1968,13
310,Nimble,1121,11
311,Nimble,1083,20
312,Nimble,1123,11
313,Nimble,1801,10
314,Nimble,1928,20
315,Nimble,1470,12
316,Nimble,1213,16
317,Nimble,1298,10
318,Nimble,1496,19
319,Nimble,1361,12
320,Nimble,1258,18
321,Nimble,1896,15
322,Nimble,1588,17
323,Nimble,1266,10
324,Nimble,1217,16
325,Nimble,1122,12
326,Nimble,1805,16
327,Nimble,1372,12
328,Nimble,1136,18
329,Nimble,1962,13
330,Nimble,1225,15
331,Nimble,1908,12
332,Nimble,1231,13
333,Nimble,1232,18
334,Nimble,1672,20
335,Nimble,1430,18
336,Nimble,1130,18
337,Nimble,1283,19
338,Nimble,1265,20
339,Nimble,1806,20
340,Nimble,1872,11
341,Nimble,1519,18
342,Nimble,1636,17
343,Nimble,1275,16
344,Nimble,1642,13
345,Nimble,1376,18
346,Nimble,1439,11
347,Nimble,1152,10
348,Nimble,1731,17
349,Nimble,1579,17
350,Nimble,1515,17
351,Nimble,1248,14
352,Nimble,1454,18
353,Nimble,1616,18
354,Nimble,1262,15
355,Nimble,1887,13
356,Nimble,1969,15
357,Nimble,1643,15
358,Nimble,1977,12
359,Nimble,1570,11
360,Nimble,1020,14
361,Nimble,1744,14
362,Nimble,1089,16
363,Nimble,1531,19
364,Nimble,1789,19
365,Nimble,1632,10
366,Nimble,1317,18
367,Nimble,1331,13
368,Nimble,1278,19
369,Nimble,1891,17
370,Nimble,1590,17
371,Nimble,1254,20
372,Nimble,1240,19
373,Nimble,1779,10
374,Nimble,1721,11
375,Nimble,1204,19
376,Nimble,1393,17
377,Nimble,1783,17
378,Nimble,1867,20
379,Nimble,1088,18
380,Nimble,1384,19
381,Nimble,1859,16
382,Nimble,1902,10
383,Nimble,1248,16
384,Nimble,1068,19
385,Nimble,1342,16
386,Nimble,1363,20
387,Nimble,1854,16
388,Nimble,1230,15
389,Nimble,1870,14
390,Nimble,1880,14
391,Nimble,1523,19
392,Nimble,1571,11
393,Nimble,1530,15
394,Nimble,1647,13
395,Nimble,1416,10
396,Nimble,1993,16
397,Nimble,1423,11
398,Nimble,1449,11
399,Nimble,1225,10
400,Nimble,1868,11
401,Nimble,1190,12
402,Nimble,1545,13
403,Nimble,1051,13
404,Nimble,1075,12
405,Nimble,1956,16
406,Nimble,1077,19
407,Nimble,1726,19
408,Nimble,1154,14
409,Nimble,1533,14
410,Nimble,1589,17
411,Nimble,1744,20
412,Nimble,1741,12
413,Nimble,1211,11
414,Nimble,1545,16
415,Nimble,1705,20
416,Nimble,1869,19
417,Nimble,1056,13
418,Nimble,1552,11
419,Nimble,1335,18
420,Nimble,1060,17
421,Nimble,1034,10
422,Nimble,1420,13
423,Nimble,1642,14
424,Nimble,1728,12
425,Nimble,1641,10
426,Nimble,1855,13
427,Nimble,1476,14
428,Nimble,1455,14
429,Nimble,1429,19
430,Nimble,1074,18
431,Nimble,1309,18
432,Nimble,1387,12
433,Nimble,1920,13
434,Nimble,1034,15
435,Nimble,1397,13
436,Nimble,1319,20
437,Nimble,1614,12
438,Nimble,1735,17
439,Nimble,1858,19
440,Nimble,1499,19
441,Nimble,1586,20
442,Nimble,1626,13
443,Nimble,1737,20
444,Nimble,1301,11
445,Nimble,1838,18
446,Nimble,1562,20
447,Nimble,1042,13
448,Nimble,1785,18
449,Nimble,1967,15
450,Nimble,1859,19
451,Nimble,1625,18
452,Nimble,1497,16
453,Nimble,1819,18
454,Nimble,1738,13
455,Nimble,1554,14
456,Nimble,1526,18
457,Nimble,1319,16
458,Nimble,1769,19
459,Nimble,1120,14
460,Nimble,1069,14
461,Nimble,1260,19
462,Nimble,1788,18
463,Nimble,1203,12
464,Nimble,1860,12
465,Nimble,1314,14
466,Nimble,1480,17
467,Nimble,1341,16
468,Nimble,1390,18
469,Nimble,1217,13
470,Nimble,1493,13
471,Nimble,1789,14
472,Nimble,1536,18
473,Nimble,1828,15
474,Nimble,1038,18
475,Nimble,1355,18
476,Nimble,1149,11
477,Nimble,1919,19
478,Nimble,1539,20
479,Nimble,1105,15
480,Nimble,1642,20
481,Nimble,1520,10
482,Nimble,1571,15
483,Nimble,1633,16
484,Nimble,1568,10
485,Nimble,1293,18
486,Nimble,1848,15
487,Nimble,1381,10
488,Nimble,1610,13
489,Nimble,1764,14
490,Nimble,1923,19
491,Nimble,1398,11
492,Nimble,1387,13
493,Nimble,1902,14
494,Nimble,1009,11
495,Nimble,1955,17
496,Nimble,1033,19
497,Nimble,1920,12
498,Nimble,1859,17
499,Nimble,1538,13
0,Jumbo,1173,393
1,Jumbo,1056,447
2,Jumbo,1557,358
3,Jumbo,1303,412
4,Jumbo,1008,480
5,Jumbo,1096,415
6,Jumbo,1679,473
7,Jumbo,1762,315
8,Jumbo,1705,465
9,Jumbo,1645,339
10,Jumbo,1567,382
11,Jumbo,1944,291
12,Jumbo,1815,457
13,Jumbo,1840,331
14,Jumbo,1777,367
15,Jumbo,1708,336
16,Jumbo,1909,354
17,Jumbo,1153,289
18,Jumbo,1505,395
19,Jumbo,1498,441
20,Jumbo,1481,272
21,Jumbo,1457,250
22,Jumbo,1395,404
23,Jumbo,1358,308
24,Jumbo,1998,260
25,Jumbo,1436,367
26,Jumbo,1818,394
27,Jumbo,1259,423
28,Jumbo,1538,500
29,Jumbo,1211,353
30,Jumbo,1091,257
31,Jumbo,1928,390
32,Jumbo,1669,424
33,Jumbo,1786,264
34,Jumbo,1982,440
35,Jumbo,1547,496
36,Jumbo,1791,408
37,Jumbo,1556,427
38,Jumbo,1700,414
39,Jumbo,1324,346
40,Jumbo,1425,263
41,Jumbo,1364,256
42,Jumbo,1388,358
43,Jumbo,1985,344
44,Jumbo,1494,385
45,Jumbo,1651,447
46,Jumbo,1723,445
47,Jumbo,1095,288
48,Jumbo,1292,317
49,Jumbo,1353,469
0,Medium,484,113
1,Medium,289,107
2,Medium,314,52
3,Medium,487,125
4,Medium,286,66
5,Medium,284,85
6,Medium,498,148
7,Medium,283,131
8,Medium,261,127
9,Medium,258,97
10,Medium,290,69
11,Medium,255,142
12,Medium,295,106
13,Medium,256,102
14,Medium,272,70
15,Medium,480,138
16,Medium,436,65
17,Medium,286,60
18,Medium,495,61
19,Medium,467,104
20,Medium,337,133
21,Medium,428,82
22,Medium,282,118
23,Medium,398,87
24,Medium,437,90
25,Medium,320,91
26,Medium,341,109
27,Medium,322,68
28,Medium,426,93
29,Medium,358,114
30,Medium,253,143
31,Medium,459,150
32,Medium,442,65
33,Medium,338,117
34,Medium,445,85
35,Medium,285,136
36,Medium,364,63
37,Medium,254,147
38,Medium,486,118
39,Medium,366,65
40,Medium,260,108
41,Medium,252,136
42,Medium,317,133
43,Medium,412,65
44,Medium,409,76
45,Medium,418,85
46,Medium,491,57
47,Medium,407,58
48,Medium,328,51
49,Medium,291,66
50,Medium,386,106
51,Medium,442,150
52,Medium,350,53
53,Medium,267,60
54,Medium,413,58
55,Medium,397,85
56,Medium,310,56
57,Medium,268,122
58,Medium,401,87
59,Medium,424,94
60,Medium,464,56
61,Medium,303,84
62,Medium,382,61
63,Medium,312,113
64,Medium,413,66
65,Medium,415,67
66,Medium,404,114
67,Medium,274,58
68,Medium,486,125
69,Medium,436,134
70,Medium,417,82
71,Medium,391,127
72,Medium,357,93
73,Medium,318,122
74,Medium,373,72
75,Medium,436,91
76,Medium,305,127
77,Medium,302,52
78,Medium,465,105
79,Medium,490,124
80,Medium,256,150
81,Medium,255,79
82,Medium,450,50
83,Medium,410,116
84,Medium,299,63
85,Medium,285,124
86,Medium,256,77
87,Medium,255,89
88,Medium,415,100
89,Medium,464,84
90,Medium,252,63
91,Medium,426,139
92,Medium,481,86
93,Medium,302,98
94,Medium,461,100
95,Medium,398,58
96,Medium,321,107
97,Medium,339,53
98,Medium,329,128
99,Medium,355,122
